parent_type,parent_id,parent_label,relationship,child_type,child_id,child_label
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-3,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-3,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-3-b,b
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-4,4
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5,5
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5-a,a
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5-b,b
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-5-c,c
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-6,6
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-6,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-6,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-6-a,a
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-6,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-6,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-6-b,b
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-paragraph-B-6A,6A
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-7,7
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-8,8
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-9,9
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-paragraph-B-9A,9A
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-10,10
provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B,has_sub_provision,provision,schedule-2-part-20-crossheading-class-a-new-dwellinghouses-on-detached-blocks-of-flats_paragraph-B-10A,10A
